ID,variations,Keywords,Volume
16,"pickup lines, best pickup lines, bad pickup lines, ai pickup lines, poop pickup lines, 18 pickup lines, 2022 best pickup lines, 2022 pickup lines",pickup lines,650066
14,"dirty pick up lines, dirty chat up lines",dirty pick up lines,225342
3,"hook up lines, cute pick up lines, electrician pick up lines, lord of the rings pick up lines, sexy pick up lines, great pick up lines, flirt lines, cringy pick up lines, lotr pick up lines, therapist pick up lines, hot pick up lines, cheesiest pick up lines, halloween pick up lines, cringe pick up lines, best online pick up lines, dentist pick up lines, romantic pick up lines, christian pick up lines, handyman pick up lines, clever pick up lines, cringey pick up lines, bible pick up lines, pick up lines to make him blush, best flirty pick up lines, disney pick up lines, science pick up lines, grocery store pick up lines, pick up lines for her, insurance pick up lines, amazing pick up lines, top pick up lines, online pick up lines, 18 pick up lines, 2 line pick up lines, 20 pick up lines, 2022 pick up lines, 40 best pick up lines",hook up lines,145548
11,"cheesy pick up lines, cheesy pick up lines for her, cheesy pick up lines for him, best cheesy pick up lines",cheesy pick up lines,126549
5,"funny pick up lines, funny pick up lines for her, funny pick up lines for him",funny pick up lines,109709
9,"good pick up lines, pick up lines for flirting, best flirting lines, online flirting lines, good tinder pick up lines, good flirting lines",good pick up lines,93388
7,"chat up lines, tinder chat up lines, best chat up lines, flirty chat up lines, sexy chat up lines",chat up lines,66261
6,"tinder pickup lines, best tinder pick up lines, tinder pickup lines for hookups, tinder pick up lines to get laid, pick up lines for hookups",tinder pickup lines,61227
10,"corny pick up lines, corny pick up lines for her, corny pick up lines for him",corny pick up lines,55527
4,"pick up lines for guys, pick up lines for flirting with guys, best pick up lines for guys, good pick up lines for guys, pick up lines to use on guys",pick up lines for guys,52404
1,"smooth pick up lines, smooth pick up lines for her",smooth pick up lines,42644
8,"10 10 pick up lines, 10 best pick up lines, 10 pick up lines",10 10 pick up lines,1234
0,"best hookup lines, hookup pickup lines, best hookup pick up lines",best hookup lines,891
2,"100 best pick up lines, 100 cheesy pick up lines, 100 pick up lines, 100 pick up lines for her, 100 worst pick up lines",100 best pick up lines,811
13,"pick up lines for dating apps, best dating app pick up lines, online dating pick up lines",pick up lines for dating apps,760
12,"101 best pick up lines, 101 cheesy pick up lines, 101 pick up lines",101 best pick up lines,199
15,"best one night stand pick up lines, one night stand pick up lines",best one night stand pick up lines,71
